-818,-5833,-6010,-6067,-6097,-6129,-6159,-6189,-6224,-6256,-6296,-6338,-6384,-6433,-6488,-6547,-6613,-6682,-6756,-6837,-6924,-7015,-7112,-7217,-7326,-7444,-7564,-7692,-7831,-7973,-8119,-8271,-8421,-8563,-8693,-8789,-8833,-8812,-8721,-8560,-8345,-8089,-7803,-7493,-7167,-6820,-6465,-6101,-5722,-5348
-589,-5988,-6110,-6162,-6196,-6225,-6253,-6285,-6322,-6357,-6398,-6442,-6489,-6541,-6599,-6662,-6728,-6802,-6881,-6967,-7057,-7155,-7261,-7371,-7488,-7614,-7746,-7887,-8035,-8188,-8347,-8507,-8662,-8799,-8901,-8943,-8899,-8771,-8571,-8318,-8024,-7699,-7353,-6991,-6609,-6214,-5812,-5400,-4983,-4577
-299,-6074,-6221,-6276,-6303,-6331,-6365,-6398,-6432,-6469,-6513,-6558,-6607,-6664,-6724,-6788,-6860,-6939,-7023,-7116,-7213,-7317,-7430,-7549,-7676,-7812,-7957,-8111,-8272,-8438,-8608,-8775,-8925,-9034,-9062,-8985,-8812,-8563,-8266,-7936,-7578,-7192,-6793,-6372,-5937,-5488,-5035,-4582,-4139,-3724
-62,-6204,-6345,-6384,-6420,-6455,-6489,-6521,-6556,-6593,-6640,-6688,-6743,-6800,-6864,-6935,-7011,-7094,-7184,-7282,-7386,-7500,-7620,-7752,-7889,-8040,-8201,-8368,-8546,-8730,-8912,-9071,-9181,-9184,-9057,-8828,-8531,-8193,-7824,-7427,-7005,-6566,-6107,-5628,-5136,-4636,-4137,-3652,-3203,-2818
227,-6311,-6466,-6523,-6547,-6590,-6619,-6649,-6699,-6735,-6780,-6834,-6890,-6952,-7022,-7095,-7177,-7267,-7364,-7468,-7583,-7707,-7838,-7980,-8137,-8301,-8477,-8667,-8866,-9066,-9241,-9343,-9298,-9101,-8811,-8466,-8092,-7685,-7250,-6793,-6319,-5812,-5291,-4753,-4198,-3649,-3119,-2633,-2229,-1944
187,-6479,-6616,-6660,-6703,-6733,-6770,-6804,-6842,-6892,-6943,-6992,-7052,-7120,-7195,-7275,-7361,-7459,-7565,-7677,-7803,-7937,-8084,-8244,-8414,-8599,-8801,-9014,-9233,-9427,-9511,-9378,-9097,-8754,-8372,-7960,-7523,-7059,-6565,-6049,-5503,-4928,-4335,-3727,-3115,-2535,-2011,-1589,-1321,-1221
-281,-6663,-6776,-6831,-6860,-6899,-6929,-6969,-7009,-7059,-7113,-7168,-7236,-7303,-7383,-7471,-7566,-7673,-7787,-7912,-8045,-8193,-8359,-8536,-8730,-8940,-9173,-9412,00,00,-9383,-9038,-8655,-8243,-7806,-7342,-6845,-6322,-5762,-5173,-4546,-3893,-3216,-2542,-1899,-1326,-900,-656,-630,-802
-196,-6898,-6977,-7015,-7047,-7071,-7111,-7146,-7196,-7239,-7297,-7363,-7425,-7505,-7589,-7685,-7792,-7901,-8028,-8164,-8314,-8476,-8658,-8862,-9081,-9328,00,00,00,-9301,-8924,-8518,-8090,-7632,-7142,-6624,-6066,-5471,-4831,-4154,-3435,-2685,-1925,-1202,-577,-140,54,-14,-296,-722
-794,-7047,-7181,-7211,-7237,-7271,-7302,-7345,-7388,-7435,-7495,-7563,-7637,-7718,-7812,-7914,-8026,-8147,-8285,-8430,-8596,-8780,-8980,-9207,-9455,00,00,-9509,-9149,-8766,-8357,-7916,-7443,-6941,-6399,-5813,-5183,-4497,-3759,-2969,-2135,-1280,-458,238,697,815,619,195,-339,-914
-680,-7329,-7361,-7419,-7448,-7469,-7507,-7548,-7593,-7649,-7705,-7780,-7856,-7942,-8044,-8149,-8269,-8402,-8546,-8713,-8883,-9081,-9295,-9510,00,-9576,-9299,-8963,-8584,-8173,-7732,-7253,-6734,-6173,-5566,-4898,-4170,-3372,-2506,-1576,-601,338,1138,1602,1627,1258,672,0,-654,-1278
